ID,APLICACIÓN,AREA,SUB_ÁREA,DENOMINACIÓN,EUROS,FID
931,41022602,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",PUBLICIDAD Y PROPAGANDA AGRICULTURA/GANADERIA Y PESCA,20000,758
932,41022603,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",PUBLICACIÓN EN DIARIOS OFICIALES,800,759
933,41022606,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",SEMINARIOS/ SERVICIO AGRIC./GAN./PESCA,4900,760
934,41022610,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",AGRICULTURA CUOTA ADER,20000,761
935,41022611,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA","FERIAS AGRARIAS, PESQUERAS Y GANADERAS",10000,762
936,41022612,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",PROMOCIÓN GASTRONÓMICA DE PRODUCTOS DE LA PALMA,10000,763
937,41022699,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",GASTOS DIVERSOS AGRICULTURA,15570,764
938,41022706,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",PRESTACIÓN SERVICIOS,87000,765
939,41022709,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",MANTENIMIENTO JARDINES DEPENDENCIAS AGRICULTURA,5000,766
942,41062500,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",MOBILIARIO Y ENSERES ,9650,767
943,41062700,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",OTRAS INVERSIONES,3000,768
948,41262704,"AGRICULTURA, GANADERIA Y PESCA",MEJORAS DE LAS ESTRUCTURAS AGROPECUARIAS Y DE LOS SISTEMAS PRODUCTIVOS,OTRAS INVERSIONES,40100,769
953,41321300,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,REPARACIÓN MAQUINARIA GANADERÍA,1500,770
954,41322104,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,VESTUARIO,1000,771
955,41322105,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,MANUTENCIÓN DE ANIMALES,36032,772
956,41322106,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,PRODUCTOS FARMACÉUTICOS GANADERÍA,500,773
957,41322107,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,SEMILLAS GANADERÍA,500,774
958,41322699,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,OTROS GASTOS DIVERSOS FINCA EXPERIMENTAL,7000,775
959,41322709,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,SERVICIO COMPOSTAJE FINCA,21566,776
962,41346200,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,SUBVENCIÓN AYTO. BREÑA ALTA FERIA GANADERA,3000,777
