Time_s         F1_Hz        F2_Hz         F3_Hz   F4_Hz
1.512905   2934.533179   --undefined--   --undefined--   --undefined--
1.519155   2986.916317   --undefined--   --undefined--   --undefined--
1.525405   3489.046644   --undefined--   --undefined--   --undefined--
1.531655   3042.447036   --undefined--   --undefined--   --undefined--
1.537905   3112.277205   --undefined--   --undefined--   --undefined--
1.544155   2928.801385   --undefined--   --undefined--   --undefined--
1.550405   2961.068013   --undefined--   --undefined--   --undefined--
1.556655   2861.049234   --undefined--   --undefined--   --undefined--
1.562905   2587.035789   --undefined--   --undefined--   --undefined--
1.569155   2299.103086   4378.832195   --undefined--   --undefined--
1.575405   3071.299195   --undefined--   --undefined--   --undefined--
1.581655   2760.887264   --undefined--   --undefined--   --undefined--
1.587905   2695.670549   --undefined--   --undefined--   --undefined--
1.594155   2589.076113   --undefined--   --undefined--   --undefined--
1.600405   2263.646947   4227.076257   --undefined--   --undefined--
1.606655   2198.715670   4225.379373   --undefined--   --undefined--
1.612905   2174.393637   4541.629744   --undefined--   --undefined--
1.619155   2417.555875   --undefined--   --undefined--   --undefined--
1.625405   2313.758463   --undefined--   --undefined--   --undefined--
1.631655   2523.730325   --undefined--   --undefined--   --undefined--
1.637905   2785.968006   --undefined--   --undefined--   --undefined--
1.644155   2254.356763   4313.110816   --undefined--   --undefined--
1.650405   2131.499853   4237.104358   --undefined--   --undefined--
1.656655   2461.048785   4379.402212   --undefined--   --undefined--
1.662905   2563.002532   --undefined--   --undefined--   --undefined--
1.669155   2619.088394   --undefined--   --undefined--   --undefined--
1.675405   2365.774642   --undefined--   --undefined--   --undefined--
1.681655   2078.263625   4340.140982   --undefined--   --undefined--
1.687905   1733.497800   4135.589888   --undefined--   --undefined--
1.694155   1556.079182   4052.506204   --undefined--   --undefined--
1.700405   2722.135159   --undefined--   --undefined--   --undefined--
1.706655   2820.378412   --undefined--   --undefined--   --undefined--
1.712905   2370.762723   --undefined--   --undefined--   --undefined--
1.719155   2266.042893   4382.610843   --undefined--   --undefined--
1.725405   2344.637111   4035.717526   --undefined--   --undefined--
1.731655   1868.837463   4108.787019   --undefined--   --undefined--
1.737905   1880.339056   4964.895416   --undefined--   --undefined--
1.744155   2558.686409   --undefined--   --undefined--   --undefined--
1.750405   2335.501385   --undefined--   --undefined--   --undefined--
1.756655   1799.748884   4273.375215   --undefined--   --undefined--
1.762905   1623.209769   4004.125641   --undefined--   --undefined--
1.769155   1517.182082   4076.962322   --undefined--   --undefined--
1.775405   2851.104214   --undefined--   --undefined--   --undefined--
1.781655   2486.104379   --undefined--   --undefined--   --undefined--
1.787905   1967.911583   --undefined--   --undefined--   --undefined--
1.794155   1846.614499   --undefined--   --undefined--   --undefined--
1.800405   1982.078556   --undefined--   --undefined--   --undefined--
1.806655   1676.561865   3930.721072   --undefined--   --undefined--
1.812905   1884.691934   4237.437167   --undefined--   --undefined--
1.819155   3085.844261   --undefined--   --undefined--   --undefined--
1.825405   3228.190285   --undefined--   --undefined--   --undefined--
1.831655   3103.099102   --undefined--   --undefined--   --undefined--
1.837905   3101.670754   --undefined--   --undefined--   --undefined--
1.844155   3096.540937   --undefined--   --undefined--   --undefined--
1.850405   2957.209618   --undefined--   --undefined--   --undefined--
1.856655   2807.421840   --undefined--   --undefined--   --undefined--
1.862905   3044.168598   --undefined--   --undefined--   --undefined--
1.869155   3533.705147   --undefined--   --undefined--   --undefined--
1.875405   3888.979608   --undefined--   --undefined--   --undefined--
1.881655   3765.917517   --undefined--   --undefined--   --undefined--
1.887905   3268.387882   4063.008102   --undefined--   --undefined--
1.894155   3303.167228   4090.294553   --undefined--   --undefined--
1.900405   3302.434920   4038.824579   --undefined--   --undefined--
1.906655   3317.609482   4058.055174   --undefined--   --undefined--
1.912905   3395.790043   --undefined--   --undefined--   --undefined--
1.919155   3514.465793   --undefined--   --undefined--   --undefined--
1.925405   3140.796899   3954.304276   --undefined--   --undefined--
1.931655   3129.498484   4171.211573   --undefined--   --undefined--
1.937905   3168.342520   4138.651086   --undefined--   --undefined--
1.944155   3161.159187   4151.803872   --undefined--   --undefined--
1.950405   3126.071997   4192.489954   --undefined--   --undefined--
1.956655   2991.470415   4262.453196   --undefined--   --undefined--
1.962905   2985.014991   4280.656469   --undefined--   --undefined--
1.969155   3030.313925   4262.907869   --undefined--   --undefined--
